Date,Stage,Match,Team,Players,Pick,Role Pick,Ban,Role Ban,Spell,Emblem,Talent 1,Talent 2,Talent 3,Time,MVP,K,D,A,Gold,Level,Win,Tower,Lord ,Turtle,"Buff
 Biru","Buff 
Merah"
3/23/2024,Regular Season,2,"See You Soon",SryImFelix,Yu Zhong,Fighter,Claude,Marksman,Petrify,Fighter,Rupture,Festival of Blood,Quantum Charge,24:20,0,6,4,8,13798,15,Lose,7,4,1,16,10
3/23/2024,Regular Season,2,"See You Soon",MPTheKing,Baxia,Tank,Ruby,Fighter/Tank,Retribution,Tank,Firmness,Seasoned Hunter,Impure Rage,24:20,0,1,2,10,13738,15,Lose,7,4,1,16,10
3/23/2024,Regular Season,2,"See You Soon",Raa,Angela,Support,X.Borg,Fighter,Flicker,Mage,Inspire,Bargain Hunter,Focusing Mark,24:20,0,1,3,12,10837,15,Lose,7,4,1,16,10
3/23/2024,Regular Season,2,"See You Soon",BoxiTheKing,Grock,Tank/Fighter,Harith,Mage,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,24:20,0,0,3,13,10729,15,Lose,7,4,1,16,10
3/23/2024,Regular Season,2,"See You Soon",Souuul,Karrie,Marksman,Bruno,Marksman,Purify,Fighter,Firmness,Master Assassin,Brave Smite,24:20,0,8,1,2,17838,15,Lose,7,4,1,16,10
3/23/2024,Regular Season,2,DRoar Legends,SHADOW,Arlott,Fighter/Assassin,Lylia,Mage,Flicker,Common,Thrill,Festival of Blood,Brave Smite,24:20,0,1,3,7,11209,15,Win,6,0,2,5,8
3/23/2024,Regular Season,2,DRoar Legends,Linnn,Barats,Tank/Fighter,Novaria,Mage,Retribution,Tank,Firmness,Seasoned Hunter,Brave Smite,24:20,0,1,6,6,12681,15,Win,6,0,2,5,8
3/23/2024,Regular Season,2,DRoar Legends,Aykii,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,24:20,1,5,1,8,14334,15,Win,6,0,2,5,8
3/23/2024,Regular Season,2,DRoar Legends,CADENZA,Chou,Fighter,Joy,Assassin,Flicker,Tank,Agility,Wilderness Blessing.,Concussive Blast,24:20,0,2,2,4,10485,15,Win,6,0,2,5,8
3/23/2024,Regular Season,2,DRoar Legends,Wickyy,Natan,Marksman,Nolan,Assassin,Purify,Mage,Swift,Bargain Hunter,Weakness Finder,24:20,0,4,4,4,17102,15,Win,6,0,2,5,8
3/23/2024,Regular Season,3,DRoar Legends,SHADOW,Paquito,Fighter/Assassin,Martis,Fighter,Flicker,Fighter,Rupture,Festival of Blood,Lethal Ignition,15:07,1,4,0,2,10339,15,Win,7,2,1,7,5
3/23/2024,Regular Season,3,DRoar Legends,Linnn,Fredrinn,Fighter/Tank,Chou,Fighter,Retribution,Tank,Firmness,Seasoned Hunter,Brave Smite,15:07,0,1,1,7,8041,15,Win,7,2,1,7,5
3/23/2024,Regular Season,3,DRoar Legends,Aykii,Vexana,Mage,Mathilda,Support/Assassin,Flicker,Mage,Rupture,Wilderness Blessing.,Lethal Ignition,15:07,0,4,0,3,8706,14,Win,7,2,1,7,5
3/23/2024,Regular Season,3,DRoar Legends,CADENZA,Guinevere,Fighter,Nolan,Assassin,Flicker,Tank,Inspire,Wilderness Blessing.,Brave Smite,15:07,0,0,2,6,6725,13,Win,7,2,1,7,5
3/23/2024,Regular Season,3,DRoar Legends,Wickyy,Karrie,Marksman,Novaria,Mage,Flicker,Common,Swift,Festival of Blood,Brave Smite,15:07,0,1,2,5,11422,15,Win,7,2,1,7,5
3/23/2024,Regular Season,3,"See You Soon",SryImFelix,X.Borg,Fighter,Ruby,Fighter/Tank,Flicker,Tank,Vitality,Festival of Blood,Brave Smite,15:07,0,3,2,0,8215,14,Lose,1,1,0,7,4
3/23/2024,Regular Season,3,"See You Soon",MPTheKing,Barats,Tank/Fighter,Angela,Support,Retribution,Tank,Thrill,Seasoned Hunter,Concussive Blast,15:07,0,0,3,4,8487,15,Lose,1,1,0,7,4
3/23/2024,Regular Season,3,"See You Soon",Raa,Valentina,Mage,Joy,Assassin,Purify,Mage,Inspire,Wilderness Blessing.,Quantum Charge,15:07,0,1,2,3,7744,14,Lose,1,1,0,7,4
3/23/2024,Regular Season,3,"See You Soon",BoxiTheKing,Grock,Tank/Fighter,Natan,Marksman,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,15:07,0,0,2,2,5965,12,Lose,1,1,0,7,4
3/23/2024,Regular Season,3,"See You Soon",Souuul,Claude,Marksman,Harith,Mage,Purify,Common,Agility,Tenacity,Quantum Charge,15:07,0,1,1,3,9600,14,Lose,1,1,0,7,4
3/23/2024,Regular Season,1,CFU Gaming,Wadu,X.Borg,Fighter,Angela,Support,Flicker,Tank,Vitality,Festival of Blood,Impure Rage,12:00,0,2,1,7,7929,13,Win,9,1,2,7,6
3/23/2024,Regular Season,1,CFU Gaming,Detective,Nolan,Assassin,Vexana,Mage,Retribution,Assassin,Thrill,Seasoned Hunter,Lethal Ignition,12:00,0,6,2,4,10637,15,Win,9,1,2,7,6
3/23/2024,Regular Season,1,CFU Gaming,Zee,Odette,Mage,Joy,Assassin,Flicker,Mage,Rupture,Weapons Master,Lethal Ignition,12:00,0,5,1,8,8058,13,Win,9,1,2,7,6
3/23/2024,Regular Season,1,CFU Gaming,Flamezy,Minotaur,Tank/Support,Baxia,Tank,Flicker,Tank,Firmness,Wilderness Blessing.,Concussive Blast,12:00,1,0,0,13,6487,12,Win,9,1,2,7,6
3/23/2024,Regular Season,1,CFU Gaming,Xingg,Claude,Marksman,Barats,Tank/Fighter,Purify,Common,Swift,Master Assassin,Quantum Charge,12:00,0,3,0,4,10051,14,Win,9,1,2,7,6
3/23/2024,Regular Season,1,PRO Esports,Tong,Cici,Fighter,Faramis,Support/Mage,Vengeance,Fighter,Inspire,Festival of Blood,Brave Smite,12:00,0,0,4,3,5253,10,Lose,0,2,0,5,4
3/23/2024,Regular Season,1,PRO Esports,Boyet,Natan,Marksman,Lylia,Mage,Retribution,Mage,Thrill,Seasoned Hunter,Weakness Finder,12:00,0,3,3,1,8096,14,Lose,0,2,0,5,4
3/23/2024,Regular Season,1,PRO Esports,Naja,Valentina,Mage,Arlott,Fighter/Assassin,Purify,Mage,Inspire,Wilderness Blessing.,Quantum Charge,12:00,0,1,3,1,5791,12,Lose,0,2,0,5,4
3/23/2024,Regular Season,1,PRO Esports,SAA,Tigreal,Tank,Mathilda,Support/Assassin,Flicker,Tank,Agility,Wilderness Blessing.,Concussive Blast,12:00,0,0,3,2,4485,10,Lose,0,2,0,5,4
3/23/2024,Regular Season,1,PRO Esports,Donut,Yu Zhong,Fighter,Novaria,Mage,Petrify,Assassin,Rupture,Festival of Blood,Quantum Charge,12:00,0,0,3,3,6747,11,Lose,0,2,0,5,4
3/23/2024,Regular Season,2,PRO Esports,Tong,X.Borg,Fighter,Benedetta,Assassin/Fighter,Flicker,Tank,Firmness,Festival of Blood,Impure Rage,16:56,0,5,3,6,10311,15,Lose,6,0,3,9,7
3/23/2024,Regular Season,2,PRO Esports,Boyet,Fredrinn,Fighter/Tank,Claude,Marksman,Retribution,Tank,Firmness,Seasoned Hunter,Concussive Blast,16:56,0,1,3,15,9267,15,Lose,6,0,3,9,7
3/23/2024,Regular Season,2,PRO Esports,Naja,Vexana,Mage,Angela,Support,Flicker,Mage,Inspire,Bargain Hunter,Impure Rage,16:56,0,7,3,7,9324,15,Lose,6,0,3,9,7
3/23/2024,Regular Season,2,PRO Esports,SAA,Ruby,Fighter/Tank,Arlott,Fighter/Assassin,Flicker,Tank,Agility,Pull Yourself Together,Brave Smite,16:56,0,0,3,14,7618,14,Lose,6,0,3,9,7
3/23/2024,Regular Season,2,PRO Esports,Donut,Karrie,Marksman,Novaria,Mage,Flicker,Fighter,Swift,Festival of Blood,Brave Smite,16:56,0,6,3,6,11190,15,Lose,6,0,3,9,7
3/23/2024,Regular Season,2,CFU Gaming,Wadu,Lapu-Lapu,Fighter,Joy,Assassin,Flicker,Fighter,Rupture,Festival of Blood,Brave Smite,16:56,0,5,3,7,11411,15,Win,7,2,0,5,6
